service,device_type,vm_flavor_type,vm_spec,multitenancy,multitenancy_oversubscribe,redundancy_factor,in_service_at,end_of_life,demand_2019,demand_2020,demand_2021,demand_2022,demand_2023,demand_2024,demand_2025,demand_2026,demand_2027,demand_2028,forecast_2019,forecast_2020,forecast_2021,forecast_2022,forecast_2023,forecast_2024,forecast_2025,forecast_2026,forecast_2027
SIP Trunk,vESBC,bs1.medium,single VM (no MT),0,1,1,1/1/2019,12/31/2025,150,225,350,472,570,720,820,820,820,820,150,225,350,472,570,720,820,0,0
SIP Trunk,vESBC,bs1.medium,resilient VM (no MT),0,1,2,1/1/2024,12/31/2027,150,225,350,472,570,720,820,820,820,820,0,0,0,0,0,1440,1640,1640,1640
BNS,vSR - 1 vCPU,bs1.xsmall,single VM (no MT),0,1,1,1/1/2019,12/31/2025,1600,2222,2900,3536,3987,4459,4506,4548,4553,4557,1600,2222,2900,3536,3987,4459,4506,0,0
EWANV (EC-S),vSR - 1 vCPU,bs1.xsmall,single VM (no MT),0,1,1,1/1/2019,12/31/2025,400,1300,1725,567,613,750,891,1120,1128,1141,400,1300,1725,567,613,750,891,0,0
cInternet (EC-Z),vSR - 1 vCPU,bs1.xsmall,single VM (no MT),0,1,1,1/1/2019,12/31/2021,800,1145,1050,1100,1100,1550,1600,1600,1600,1600,800,1145,1050,0,0,0,0,0,0
BNS,vMSR - 1 vCPU,bs1.small,resilient VM (no MT),0,1,2,1/1/2024,12/31/2027,1600,2222,2900,3536,3987,4459,4506,4548,4553,4557,0,0,0,0,0,8918,9012,9096,9106
EWANV (EC-S),vMSR - 1 vCPU,bs1.small,resilient VM (no MT),0,1,2,1/1/2024,12/31/2027,400,1300,1725,567,613,750,891,1120,1128,1141,0,0,0,0,0,1500,1782,2240,2256
BNS & EC-S Surpass,vSR - 8 vCPU,lo1.xlarge,single VM (no MT),0,1,1,1/1/2019,12/31/2025,10,20,20,20,16,40,60,80,80,80,10,20,20,20,16,40,60,0,0
BNS & EC-S Surpass,vMSR - 8vCPU,lo1.xlarge,resilient VM (no MT),0,1,1,1/1/2024,12/31/2099,10,20,20,20,16,40,60,80,80,80,0,0,0,0,0,40,60,80,80
Remote Access,ASAv,bs1.xsmall,single VM (no MT),0,1,1,1/1/2019,12/31/2025,500,1067,1300,1469,1737,1850,2100,2100,2100,2100,500,1067,1300,1469,1737,1850,2100,0,0
Remote Access,ASAv,bs1.xsmall,resilient VM (no MT),0,1,2,1/1/2026,12/31/2027,500,1067,1300,1469,1737,1850,2100,2100,2100,2100,0,0,0,0,0,0,0,4200,4200
Managed Security,FOS - 1 vCPU,bs1.xsmall,single VM (no MT),0,1,1,1/1/2019,12/31/2025,800,1050,2313,1883,4640,5650,6250,6250,6250,6250,800,1050,2313,1883,4640,5650,6250,0,0
Managed Security Surpass,FOS 8 vCPU,lo1.xlarge,single VM (no MT),0,1,1,1/1/2022,12/31/2025,0,0,0,0,0,80,100,120,120,120,0,0,0,0,0,80,100,0,0
Managed Security,FOS - 1 vCPU,bs1.xsmall,resilient VM (no MT),0,1,2,1/1/2024,12/31/2099,800,1050,2313,1883,4640,5650,6250,6250,6250,6250,0,0,0,0,0,11300,12500,12500,12500
Managed Security Surpass,FOS 8 vCPU,lo1.xlarge,resilient VM (no MT),0,1,2,1/1/2024,12/31/2099,0,0,0,0,0,80,100,120,120,120,0,0,0,0,0,160,200,240,240
High End Surpass,AR1000v,rr1_mq.3xlarge,resilient VM (no MT),0,1,2,1/1/2022,12/31/2099,0,0,0,2,2,25,45,61,61,61,0,0,0,4,4,50,90,122,122
High End,AR1000v,rr1_mq.xlarge,resilient VM (no MT),0,1,2,1/1/2019,12/31/2099,20,46,120,112,171,220,331,474,477,483,40,92,240,224,342,440,662,948,954
High End ESIP/PSAP,AR1000v,rr1_psap.xlarge,resilient VM (no MT),0,1,2,1/1/2025,12/31/2099,0,0,0,0,0,5,70,70,70,70,0,0,0,0,0,0,140,140,
